ID;model_type;d_model;dim_ff;num_of_layers;nhead;sequence_size;input_size;output_size;input_id;step_size;dropout
1532;Transformer;64;128;2;8;100;12;1;2;5;0.1
1533;Transformer;64;192;2;8;100;12;1;2;5;0.1
1534;Transformer;64;256;2;8;100;12;1;2;5;0.1
1535;Transformer;16;32;3;8;100;12;1;2;5;0.1
1536;Transformer;16;48;3;8;100;12;1;2;5;0.1
1537;Transformer;16;64;3;8;100;12;1;2;5;0.1
1538;Transformer;32;64;3;8;100;12;1;2;5;0.1
1539;Transformer;32;96;3;8;100;12;1;2;5;0.1
1540;Transformer;32;128;3;8;100;12;1;2;5;0.1
1541;Transformer;64;128;3;8;100;12;1;2;5;0.1
1542;Transformer;64;192;3;8;100;12;1;2;5;0.1
1543;Transformer;64;256;3;8;100;12;1;2;5;0.1
1544;Transformer;16;32;4;8;100;12;1;2;5;0.1
1545;Transformer;16;48;4;8;100;12;1;2;5;0.1
1546;Transformer;16;64;4;8;100;12;1;2;5;0.1
1547;Transformer;32;64;4;8;100;12;1;2;5;0.1
1548;Transformer;32;96;4;8;100;12;1;2;5;0.1
1549;Transformer;32;128;4;8;100;12;1;2;5;0.1
1550;Transformer;64;128;4;8;100;12;1;2;5;0.1
1551;Transformer;64;192;4;8;100;12;1;2;5;0.1
1552;Transformer;64;256;4;8;100;12;1;2;5;0.1
1553;Transformer;16;32;2;2;110;12;1;2;5;0.1
1554;Transformer;16;48;2;2;110;12;1;2;5;0.1
1555;Transformer;16;64;2;2;110;12;1;2;5;0.1
1556;Transformer;32;64;2;2;110;12;1;2;5;0.1
1557;Transformer;32;96;2;2;110;12;1;2;5;0.1
1558;Transformer;32;128;2;2;110;12;1;2;5;0.1
1559;Transformer;64;128;2;2;110;12;1;2;5;0.1
1560;Transformer;64;192;2;2;110;12;1;2;5;0.1
1561;Transformer;64;256;2;2;110;12;1;2;5;0.1
1562;Transformer;16;32;3;2;110;12;1;2;5;0.1
1563;Transformer;16;48;3;2;110;12;1;2;5;0.1
1564;Transformer;16;64;3;2;110;12;1;2;5;0.1
1565;Transformer;32;64;3;2;110;12;1;2;5;0.1
1566;Transformer;32;96;3;2;110;12;1;2;5;0.1
1567;Transformer;32;128;3;2;110;12;1;2;5;0.1
1568;Transformer;64;128;3;2;110;12;1;2;5;0.1
1569;Transformer;64;192;3;2;110;12;1;2;5;0.1
1570;Transformer;64;256;3;2;110;12;1;2;5;0.1
1571;Transformer;16;32;4;2;110;12;1;2;5;0.1
1572;Transformer;16;48;4;2;110;12;1;2;5;0.1
1573;Transformer;16;64;4;2;110;12;1;2;5;0.1
1574;Transformer;32;64;4;2;110;12;1;2;5;0.1
1575;Transformer;32;96;4;2;110;12;1;2;5;0.1
1576;Transformer;32;128;4;2;110;12;1;2;5;0.1
1577;Transformer;64;128;4;2;110;12;1;2;5;0.1
1578;Transformer;64;192;4;2;110;12;1;2;5;0.1
1579;Transformer;64;256;4;2;110;12;1;2;5;0.1
1580;Transformer;16;32;2;4;110;12;1;2;5;0.1
1581;Transformer;16;48;2;4;110;12;1;2;5;0.1
1582;Transformer;16;64;2;4;110;12;1;2;5;0.1
1583;Transformer;32;64;2;4;110;12;1;2;5;0.1
1584;Transformer;32;96;2;4;110;12;1;2;5;0.1
1585;Transformer;32;128;2;4;110;12;1;2;5;0.1
1586;Transformer;64;128;2;4;110;12;1;2;5;0.1
1587;Transformer;64;192;2;4;110;12;1;2;5;0.1
1588;Transformer;64;256;2;4;110;12;1;2;5;0.1
1589;Transformer;16;32;3;4;110;12;1;2;5;0.1
1590;Transformer;16;48;3;4;110;12;1;2;5;0.1
1591;Transformer;16;64;3;4;110;12;1;2;5;0.1
1592;Transformer;32;64;3;4;110;12;1;2;5;0.1
1593;Transformer;32;96;3;4;110;12;1;2;5;0.1
1594;Transformer;32;128;3;4;110;12;1;2;5;0.1
1595;Transformer;64;128;3;4;110;12;1;2;5;0.1
1596;Transformer;64;192;3;4;110;12;1;2;5;0.1
1597;Transformer;64;256;3;4;110;12;1;2;5;0.1
1598;Transformer;16;32;4;4;110;12;1;2;5;0.1
1599;Transformer;16;48;4;4;110;12;1;2;5;0.1
1600;Transformer;16;64;4;4;110;12;1;2;5;0.1
1601;Transformer;32;64;4;4;110;12;1;2;5;0.1
1602;Transformer;32;96;4;4;110;12;1;2;5;0.1
1603;Transformer;32;128;4;4;110;12;1;2;5;0.1
1604;Transformer;64;128;4;4;110;12;1;2;5;0.1
1605;Transformer;64;192;4;4;110;12;1;2;5;0.1
1606;Transformer;64;256;4;4;110;12;1;2;5;0.1
1607;Transformer;16;32;2;8;110;12;1;2;5;0.1
1608;Transformer;16;48;2;8;110;12;1;2;5;0.1
1609;Transformer;16;64;2;8;110;12;1;2;5;0.1
1610;Transformer;32;64;2;8;110;12;1;2;5;0.1
1611;Transformer;32;96;2;8;110;12;1;2;5;0.1
1612;Transformer;32;128;2;8;110;12;1;2;5;0.1
1613;Transformer;64;128;2;8;110;12;1;2;5;0.1
1614;Transformer;64;192;2;8;110;12;1;2;5;0.1
1615;Transformer;64;256;2;8;110;12;1;2;5;0.1
1616;Transformer;16;32;3;8;110;12;1;2;5;0.1
1617;Transformer;16;48;3;8;110;12;1;2;5;0.1
1618;Transformer;16;64;3;8;110;12;1;2;5;0.1
1619;Transformer;32;64;3;8;110;12;1;2;5;0.1
1620;Transformer;32;96;3;8;110;12;1;2;5;0.1
1621;Transformer;32;128;3;8;110;12;1;2;5;0.1
1622;Transformer;64;128;3;8;110;12;1;2;5;0.1
1623;Transformer;64;192;3;8;110;12;1;2;5;0.1
1624;Transformer;64;256;3;8;110;12;1;2;5;0.1
1625;Transformer;16;32;4;8;110;12;1;2;5;0.1
1626;Transformer;16;48;4;8;110;12;1;2;5;0.1
1627;Transformer;16;64;4;8;110;12;1;2;5;0.1
1628;Transformer;32;64;4;8;110;12;1;2;5;0.1
1629;Transformer;32;96;4;8;110;12;1;2;5;0.1
1630;Transformer;32;128;4;8;110;12;1;2;5;0.1
1631;Transformer;64;128;4;8;110;12;1;2;5;0.1
1632;Transformer;64;192;4;8;110;12;1;2;5;0.1
1633;Transformer;64;256;4;8;110;12;1;2;5;0.1
1634;Transformer;16;32;2;2;120;12;1;2;5;0.1
1635;Transformer;16;48;2;2;120;12;1;2;5;0.1
1636;Transformer;16;64;2;2;120;12;1;2;5;0.1
1637;Transformer;32;64;2;2;120;12;1;2;5;0.1
1638;Transformer;32;96;2;2;120;12;1;2;5;0.1
1639;Transformer;32;128;2;2;120;12;1;2;5;0.1
1640;Transformer;64;128;2;2;120;12;1;2;5;0.1
