time,veh_u,veh_v,best_wheel,model_based,ekf_m_bw,veh_ref
2.19 sec,0,0.00266,-0.00167558,-0.492633161912862,-0.00167557999901465,0
2.2 sec,0,0.00276,-0.00167558,-0.489644822275116,-0.00167558000019212,0
2.21 sec,0,0.00283,0,-0.492633161913703,8.17759054916323e-13,0
2.22 sec,0,0.00289,0,-0.489644822274877,-6.13775523461424e-13,0
2.23 sec,0,0.00291,0,-0.492633161913788,5.63689719901284e-13,0
2.24 sec,0,0.00291,0,-0.489644822274853,-6.13772054014472e-13,0
2.25 sec,0,0.00287,0,-0.492633161913796,5.63689719901284e-13,0
2.26 sec,0,0.00281999999999999,0,-0.489644789947404,-6.12603717753402e-13,0
2.27 sec,0,0.00267,0,-0.492630409770249,5.6018557847981e-13,0
2.28 sec,0,0.00253999999999999,-0.00170083999999992,-0.489652921816996,-0.00170084000043777,0
2.29 sec,0,0.00228,0,-0.492618789171286,8.13450001801996e-13,0
2.3 sec,0,0.00206999999999998,-7.47846229387505e-17,-0.489664596586685,-6.03344631200375e-13,0
2.31 sec,0,0.00167,-0.001684,-0.492606823358118,-0.00168399999927958,0
2.32 sec,0,0.00129,0,-0.489673643017533,-3.43204631381155e-13,0
2.33 sec,0,0.00084,0,-0.492595040555338,5.44954706360734e-13,0
2.34 sec,0,0.00033,0,-0.489690628324449,-5.92736797144777e-13,0
2.35 sec,0,0,0,-0.492579782073679,5.39145117439688e-13,0
2.36 sec,0,0,0,-0.48970529782076,-5.86903789456805e-13,0
2.37 sec,0,0,0,-0.492564779529929,5.33312109751716e-13,0
2.38 sec,0,0,0,-0.489719943725597,-5.81064710236667e-13,0
2.39 sec,0,0,0,-0.49254978153725,5.27473030531578e-13,0
2.4 sec,0,0,0,-0.489734591236483,-5.75224763654791e-13,0
2.41 sec,0,0,0,-0.492534885899623,5.25137225371175e-13,0
2.42 sec,0,0,0,-0.489741364513272,-5.74057294755459e-13,0
2.43 sec,0,0,0,-0.492531441916568,5.22800552849034e-13,0
2.44 sec,0,0,-0.00167558,-0.489746998476268,-0.00167558000040533,0
2.45 sec,0,0,0,-0.492528183601959,7.76908051780545e-13,0
2.46 sec,0,0,-0.001684,-0.489747321598681,-0.0016840000004045,0
2.47 sec,0,0,0,-0.492528150431135,7.78194349237982e-13,0
2.48 sec,0,0,-0.00167558,-0.489747324339781,-0.00167558000040534,0
2.49 sec,0,0,0,-0.492528150359798,7.76920194844877e-13,0
2.5 sec,0,0,0,-0.489747324285586,-5.72902836282196e-13,0
2.51 sec,0,0,-0.00167557999999993,-0.492528150388828,-0.00167557999930955,0
2.52 sec,0,0,0,-0.489747324276473,-3.18784061648092e-13,0
2.53 sec,0,0,0,-0.49252815039215,5.22759786847349e-13,0
2.54 sec,0,0,0,-0.489747324275516,-5.72880284877009e-13,0
2.55 sec,0,0,0,-0.492528150392489,5.22790144508178e-13,0
2.56 sec,0,0,0,-0.489747324275419,-5.72886356409175e-13,0
2.57 sec,0,0,0,-0.492528150392524,5.2279795076382e-13,0
2.58 sec,0,0,0,-0.489747324275409,-5.72888091132651e-13,0
2.59 sec,0,0,-0.00170084,-0.492528150392527,-0.00170083999930712,0
2.6 sec,0,0,0,-0.489747324275408,-3.14950322766183e-13,0
2.61 sec,0,0,0,-0.492528150392528,5.22755450038659e-13,0
2.62 sec,0,0,0,-0.489747324275409,-5.72878550153533e-13,0
2.63 sec,0,0,0,-0.492528150392528,5.22788409784702e-13,0
